title,genres
The Matrix,Action Adventure
Inception,Animation Family
Interstellar,Adventure Fantasy
The Dark Knight,Thriller Mystery
Avengers Endgame,Sci-Fi Adventure
Titanic,Action Adventure
Jurassic Park,Action Sci-Fi
The Lion King,Drama Crime
Toy Story,Action Adventure
Avatar,Action Adventure
Gladiator,Thriller Mystery
Frozen,Thriller Mystery
Mad Max Fury Road,Action Sci-Fi
Black Panther,Adventure Fantasy
Guardians of the Galaxy,Action Adventure
Harry Potter,Action Adventure
The Hobbit,Adventure Fantasy
Lord of the Rings,Thriller Mystery
Star Wars,Action Sci-Fi
The Godfather,Action Adventure
Pulp Fiction,Comedy Romance
Fight Club,Action Sci-Fi
The Shawshank Redemption,Animation Family
Forrest Gump,Action Adventure
Jumanji,Thriller Mystery
Doctor Strange,Animation Family
Iron Man,Adventure Fantasy
Thor,Sci-Fi Adventure
Captain America,Sci-Fi Adventure
Spider Man,Drama Crime
Deadpool,Animation Family
Logan,Drama Crime
Dune,Drama Crime
Tenet,Action Adventure
Gravity,Action Sci-Fi
Edge of Tomorrow,Action Sci-Fi
Pacific Rim,Thriller Mystery
Transformers,Comedy Romance
Batman Begins,Adventure Fantasy
Superman Returns,Sci-Fi Adventure
Wonder Woman,Adventure Fantasy
Aquaman,Sci-Fi Adventure
Shazam,Adventure Fantasy
The Flash,Thriller Mystery
Ant Man,Thriller Mystery
Hulk,Comedy Romance
Captain Marvel,Drama Crime
The Avengers,Animation Family
Justice League,Thriller Mystery
Man of Steel,Comedy Romance
Inside Out,Sci-Fi Adventure
Finding Nemo,Action Adventure
Up,Sci-Fi Adventure
Coco,Action Sci-Fi
Ratatouille,Comedy Romance
Cars,Action Sci-Fi
Brave,Comedy Romance
Soul,Animation Family
Turning Red,Animation Family
Moana,Comedy Romance
Encanto,Animation Family
Aladdin,Sci-Fi Adventure
Beauty and the Beast,Action Adventure
Frozen 2,Thriller Mystery
Mulan,Sci-Fi Adventure
The Incredibles,Adventure Fantasy
Incredibles 2,Drama Crime
Minions,Comedy Romance
Despicable Me,Animation Family
Kung Fu Panda,Thriller Mystery
Shrek,Animation Family
How to Train Your Dragon,Sci-Fi Adventure
Megamind,Sci-Fi Adventure
Hotel Transylvania,Animation Family
The Croods,Animation Family
Godzilla,Sci-Fi Adventure
King Kong,Drama Crime
Jurassic World,Sci-Fi Adventure
The Meg,Adventure Fantasy
Rampage,Adventure Fantasy
Mission Impossible,Adventure Fantasy
Top Gun,Comedy Romance
John Wick,Adventure Fantasy
The Equalizer,Sci-Fi Adventure
Taken,Action Adventure
Casino Royale,Thriller Mystery
Skyfall,Sci-Fi Adventure
No Time to Die,Sci-Fi Adventure
The Bourne Identity,Comedy Romance
Jason Bourne,Animation Family
The Hangover,Action Adventure
Superbad,Adventure Fantasy
Step Brothers,Action Sci-Fi
Ted,Adventure Fantasy
Dumb and Dumber,Thriller Mystery
Mean Girls,Action Sci-Fi
Clueless,Animation Family
Legally Blonde,Animation Family
Pitch Perfect,Action Adventure
Easy A,Thriller Mystery
